rki_ags;population;incidence;cases_100k;cases_week
09462;74048;530.7368193604149;8741.627052722559;393
05711;333509;382.8982126419377;9402.145069548349;1277
09181;121019;626.3479288376205;8873.813202885498;758
09363;42535;420.8299047842953;10429.058422475608;179
09261;73065;567.9874084719086;11261.20577567919;415
05758;250547;467.77650500704453;9017.868902840586;1172
03354;48503;313.3826773601633;4317.258726264355;152
09361;42052;332.92114524873966;9830.685817559212;140
09661;70858;491.12309125292836;9685.568319738068;348
08211;55449;804.3427293549028;9448.321881368463;446
03459;359471;375.2736660259103;7817.876824556083;1349
05314;330579;535.4242102492899;8482.087488920954;1770
04011;566573;1498.4829845403858;9675.716986160654;8490
04012;113557;915.8396223922788;9411.132735102196;1040
09463;40842;364.82052788795846;10712.012144361197;149
05166;298536;504.1268054773964;7394.418093630249;1505
03355;184235;528.1298341791734;4983.309360327842;973
01004;79905;604.467805519054;5920.780927351229;483
03252;148580;301.52106609234085;5386.323865930812;448
09562;112385;557.0138363660631;7373.759843395471;626
05970;275491;326.68943813046525;7680.468690447238;900
03361;137574;830.0987105121607;7632.256094901653;1142
05512;117388;454.04981769857227;8175.452346066038;533
07311;48750;369.2307692307692;10038.97435897436;180
08311;230940;681.5623105568546;8523.425998094743;1574
09172;106327;397.8293377975491;15611.274652722263;423
05513;259105;454.2559966036935;10237.548484205245;1177
03257;158406;317.53847707788844;5763.039278815197;503
05915;178967;522.4426849642671;9991.22743299044;935
08121;126458;580.4298660424805;14313.843331382754;734
05916;156940;618.070600229387;10384.223270039505;970
09464;45173;427.24636397848275;12908.15310030328;193
09161;136952;820.7255096676207;11299.579414685437;1124
09761;295830;646.6551735794206;12275.63127471859;1913
05754;364818;513.4066849771667;10565.268161110473;1873
09572;138105;465.5877774157344;8138.735020455451;643
08212;308436;624.1165103943767;8321.985760417072;1925
07111;113388;404.8047412424595;7379.969661692595;459
03154;91518;319.0629165847156;5442.645162700234;292
05114;226844;646.2591031722241;9860.080055015782;1466
07313;46685;347.006533147692;8750.133875977295;162
06531;271667;474.47794542583387;8191.27829291007;1289
07133;158746;532.9268139039724;7152.306199841256;846
05554;371898;501.4815890378545;7324.051218344815;1865
05316;163905;740.6729507946677;10310.240688203532;1214
03256;121645;331.2918738953512;5303.136174935263;403
07314;172557;368.57386254976615;11401.449955666823;636
05558;220712;434.50288158323974;5072.673891768458;959
07315;217123;519.0606246229096;8504.856694131897;1127
09675;91696;452.5824463444425;7878.2062467283195;415
09376;148477;311.8328091219515;11146.507539888333;463
