current_station_departure_time;current_station_name;type;name;line;number;current_station;stops;max_capacity
2022-01-04T07:00:00.000Z;Bayreuth Hbf;RE;RE 32;32;3446;8000028;8000028%2022-01-04T07:00:00.000Z%0,8001348,8004759,8002794,8000284,;602
2022-01-04T07:02:00.000Z;Bayreuth Hbf;RE;RE 32;32;3481;8000028;8000028%2022-01-04T07:02:00.000Z%0,8000267,8003476,8001289,8002878,8000228,;602
2022-01-04T07:29:00.000Z;Bayreuth Hbf;RE;RE 30;30;3080;8000028;8000028%2022-01-04T07:30:00.000Z%1,8004759,8004284,8000284,;602
2022-01-04T08:02:00.000Z;Bayreuth Hbf;RE;RE 38;38;59302;8000028;8000028%2022-01-04T08:02:00.000Z%,8005895,8000267,8006017,8003476,8001289,8002878,8000228,;602
2022-01-04T08:03:00.000Z;Bayreuth Hbf;RE;RE 32;32;3456;8000028;8000028%2022-01-04T08:03:00.000Z%,8004759,8002794,8000284,;602
2022-01-04T08:15:00.000Z;Bayreuth Hbf;RE;RE 30;30;3406;8000028;8000028%2022-01-04T08:15:00.000Z%,8001348,8000328,8004759,8004284,8000284,;602
2022-01-04T08:32:00.000Z;Bayreuth Hbf;RE;RE 30;30;3083;8000028;8000028%2022-01-04T08:32:00.000Z%,8004126,8002924,;602
2022-01-04T09:01:00.000Z;Bayreuth Hbf;RE;RE 32;32;3448;8000028;8000028%2022-01-04T09:01:00.000Z%,8001348,8004759,8002794,8000284,;602
2022-01-04T09:02:00.000Z;Bayreuth Hbf;RE;RE 32;32;3483;8000028;8000028%2022-01-04T09:02:00.000Z%,8000267,8003476,8001289,8002878,8000228,;602
2022-01-04T09:29:00.000Z;Bayreuth Hbf;RE;RE 30;30;3082;8000028;8000028%2022-01-04T09:29:00.000Z%,8004759,8004284,8000284,;602
2022-01-04T10:02:00.000Z;Bayreuth Hbf;RE;RE 38;38;59304;8000028;8000028%2022-01-04T10:02:00.000Z%,8005895,8000267,8006017,8003476,8001289,8000228,;602
2022-01-04T10:03:00.000Z;Bayreuth Hbf;RE;RE 32;32;3458;8000028;8000028%2022-01-04T10:03:00.000Z%,8004759,8002794,8000284,;602
2022-01-04T10:15:00.000Z;Bayreuth Hbf;RE;RE 30;30;3408;8000028;8000028%2022-01-04T10:15:00.000Z%,8001348,8000328,8004759,8004284,8000284,;602
