db_station_name;rki_landkreisname;rki_bezeichner;db_station_id;rki_ags
Bayreuth Hbf;Bayreuth;Kreisfreie Stadt;8000028;09462
Landshut(Bay)Hbf;Landshut;Kreisfreie Stadt;8000217;09261
Hof Hbf;Hof;Kreisfreie Stadt;8002924;09464
Pirmasens Hbf;Pirmasens;Kreisfreie Stadt;8004822;07317
Speyer Hbf;Speyer;Kreisfreie Stadt;8005628;07318
Zweibrücken Hbf;Zweibrücken;Kreisfreie Stadt;8006680;07320
Sonneberg(Thür)Hbf;Sonneberg;Landkreis;8013008;16072
Potsdam Hbf (S);Potsdam;Kreisfreie Stadt;8089184;12054
Stuttgart Hbf (tief);Stuttgart;Stadtkreis;8098096;08111
Frankfurt Hbf (tief);Frankfurt am Main;Kreisfreie Stadt;8098105;06412
Kassel Hbf (tief);Kassel;Kreisfreie Stadt;8098193;06611
Leipzig Hbf (tief);Leipzig;Kreisfreie Stadt;8098205;14713
München Hbf (tief);München;Kreisfreie Stadt;8098263;09162
Stolberg(Rheinl)Hbf Gl.44;Städteregion Aachen;Kreis;8098349;05334
