rki_ags;population;incidence;cases_100k;cases_week
09462;74048;438.9044943820225;8557.962402765774;325
05711;333509;359.810379929777;9284.906854087896;1200
09181;121019;678.4058701526207;8783.74470124526;821
09363;42535;423.18090983895615;10367.932291054425;180
09261;73065;457.1272154930541;11055.909122014644;334
05758;250547;435.4472414357386;8871.788526703573;1091
03354;48503;255.65428942539637;4158.505659443746;124
09361;42052;368.5912679539618;9764.101588509464;155
09661;70858;462.89762623839226;9535.973355161026;328
08211;55449;623.9968259120994;9174.196108135404;346
03459;359471;327.42557814121307;7688.24188877545;1177
05314;330579;441.34684901339773;8253.70032579202;1459
04011;566573;1536.253933738459;9325.541457146739;8704
04012;113557;883.2568665956305;9133.739003319919;1003
09463;40842;315.85132951373583;10594.486068263062;129
05166;298536;455.22148082643304;7244.687407883807;1359
03355;184235;499.36222758976305;4818.845496241213;920
01004;79905;637.0064451536199;5733.058006382579;509
03252;148580;283.3490375555256;5291.425494682999;421
09562;112385;484.05036259287266;7206.477732793522;544
05970;275491;288.57567034857766;7577.017035039257;795
03361;137574;821.3761321179875;7350.952941689563;1130
05512;117388;362.89910382662623;7974.409650049409;426
07311;48750;303.5897435897436;9899.48717948718;148
08311;230940;612.2802459513293;8303.455442972201;1414
09172;106327;306.60133362175173;15452.331016580925;326
05513;259105;441.1339032438587;10144.921942841704;1143
03257;158406;287.23659457343786;5660.770425362675;455
05915;178967;388.33974978627344;9764.928729877576;695
08121;126458;476.0473833209445;14080.564298027803;602
05916;156940;549.8916783484134;10170.128711609534;863
09464;45173;376.3309941779381;12804.108648971733;170
09161;136952;685.6416846778434;11044.745604299316;939
09761;295830;543.5554203427644;12064.361288577898;1608
05754;364818;435.28553963894325;10373.665773070408;1588
09572;138105;401.1440570580355;8008.399406248868;554
08212;308436;547.2772309328353;8144.3151901853225;1688
07111;113388;464.77581401912016;7311.179313507603;527
03154;91518;307.0434231517297;5365.064795996416;281
05114;226844;651.1082506039393;9696.53153709157;1477
07313;46685;376.99475206169;8677.305344329014;176
06531;271667;463.06691648231106;8084.89805533981;1258
07133;158746;462.3738550892621;6982.223174127223;734
05554;371898;464.6435312908378;7188.530188384987;1728
05316;163905;696.7450657393002;10082.669839236143;1142
03256;121645;327.1815528792799;5257.9226437584775;398
07314;172557;343.0750418702226;11279.171520135375;592
05558;220712;389.19496900938776;4922.7047011490085;859
07315;217123;538.404498832459;8349.184563588382;1169
09675;91696;354.4320362938405;7722.25615075903;325
09376;148477;259.29942011220595;11038.746741919624;385
09673;79510;504.3390768456798;10642.686454534021;401
05358;265140;523.119861205401;8713.509843856076;1387
09771;135024;544.3476715250622;9308.715487617015;735
08327;141682;454.5390381276379;12206.91407518245;644
05117;170921;466.88236085677005;8397.446773655665;798
06432;297701;545.5137873235226;7322.44769080386;1624
03353;256016;598.7907005812137;5889.0850571839255;1533
07134;80830;300.63095385376715;7834.962266485215;243
06631;223023;566.7576886688817;11284.934737672796;1264
03359;205357;427.06116665124637;5269.360187380999;877
05913;587696;634.6818763442324;9037.835887942065;3730
06534;245903;380.2312293871974;7087.347450010777;935
05515;316403;521.8028906173456;5684.522586701137;1651
07316;53306;226.9913330581923;8207.33125726935;121
07233;60491;241.3582185779703;6157.940850705063;146
06533;172291;352.89132920465954;8487.965128764707;608
05119;209566;523.4627754502162;8937.995667236097;1097
07141;122574;325.5176464829409;6046.143554097933;399
05570;277417;518.3532371844552;8237.779227660887;1438
03153;134688;228.6766452839154;3918.6861487289143;308
09271;119479;319.7214573272291;13247.516299935553;382
03356;114640;710.9211444521982;5700.453593859037;815
06440;310353;460.7656442824784;8048.899156766649;1430
09182;100183;620.8638192108442;12186.698342034077;622
07319;83459;418.1694005439797;10007.308978061084;349
08231;126016;465.81386490604365;14180.738953783648;587
09777;141907;697.6400036643718;13021.204027990163;990
07317;40176;209.0800477897252;6745.320589406611;84
01055;201487;549.9114086764903;4044.4296654374725;1108
05770;310270;474.1032004383279;9846.585232217101;1471
09178;180313;479.1667822064965;9876.714379994788;864
05111;620523;617.0601250880305;8905.552251890744;3829
01057;129353;466.1662273004878;3250.0212596538154;603
09472;103679;308.6449522082582;8549.465176168751;320
09362;152270;542.4574768503317;10616.667761213634;826
09186;129128;454.5876959296202;9811.195093240816;587
01062;244989;392.67069133716205;5957.410332708816;962
05112;495885;497.49437873700555;9593.353297639573;2467
09473;86571;166.33745711612434;10958.635108754663;144
05378;283275;496.69049510193275;7734.533580443033;1407
05162;452001;258.40650795020366;7600.64690122367;1168
09672;103169;401.28333123321926;8476.383409745175;414
09671;174658;364.1402054300404;8410.150121952616;636
10042;103471;381.7494756985049;7161.426873230181;395
03102;103866;526.640093967227;9747.174243737123;547
09278;101745;282.07774337805296;11870.853604599735;287
03254;275464;243.95202276885547;5779.339587024076;672
05766;346970;405.2223535175952;9776.349540306079;1406
07338;154754;292.7226436796464;9084.740943691277;453
09479;71974;186.17834217912022;10166.17111734793;134
08221;158741;580.1903729975243;6906.218305289749;921
08237;118364;407.2184110033456;10096.819979047683;482
01058;274765;554.291849398577;4166.833475879388;1523
09565;41056;392.1473109898675;10566.05611847233;161
