current_station_departure_time;current_station_name;type;name;line;number;current_station;stops;max_capacity
2021-12-18T21:27:00.000Z;Bayreuth Hbf;RE;RE 30;30;3094;8000028;8000028%2021-12-18T21:28:00.000Z%1,8001348,8000328,8004759,8004284,8002794,8000284,;602
2021-12-18T22:57:00.000Z;Bayreuth Hbf;RE;RE 30;30;3099;8000028;8000028%2021-12-18T22:57:00.000Z%,8000974,8002605,8005895,8003887,8005674,8004126,8005466,8000287,8002924,;602
2021-12-19T04:00:00.000Z;Bayreuth Hbf;RE;RE 30;30;3400;8000028;8000028%2021-12-19T04:00:00.000Z%,8001348,8004759,8004284,8002794,8000284,;602
2021-12-19T04:45:00.000Z;Bayreuth Hbf;RE;RE 38;38;59318;8000028;8000028%2021-12-19T04:45:00.000Z%,8000974,8004936,8002605,8005895,8000267,8006017,8003476,8003813,8001289,8002878,8000228,;602
2021-12-19T05:05:00.000Z;Bayreuth Hbf;RE;RE 30;30;3452;8000028;8000028%2021-12-19T05:05:00.000Z%,8001348,8000328,8004759,8004284,8002794,8000284,;602
2021-12-19T06:01:00.000Z;Bayreuth Hbf;RE;RE 32;32;59300;8000028;8000028%2021-12-19T06:01:00.000Z%,8005895,8000267,8006017,8003476,8001289,8000228,;602
2021-12-19T06:12:00.000Z;Bayreuth Hbf;RE;RE 30;30;3404;8000028;8000028%2021-12-19T06:12:00.000Z%,8001348,8004759,8004284,8002794,8000284,;602
2021-12-19T06:32:00.000Z;Bayreuth Hbf;RE;RE 30;30;3097;8000028;8000028%2021-12-19T06:32:00.000Z%,8004126,8002924,;602
2021-12-19T07:00:00.000Z;Bayreuth Hbf;RE;RE 32;32;3446;8000028;8000028%2021-12-19T07:00:00.000Z%,8001348,8004759,8002794,8000284,;602
2021-12-19T07:02:00.000Z;Bayreuth Hbf;RE;RE 32;32;3481;8000028;8000028%2021-12-19T07:02:00.000Z%,8000267,8003476,8001289,8002878,8000228,;602
2021-12-19T08:02:00.000Z;Bayreuth Hbf;RE;RE 38;38;59302;8000028;8000028%2021-12-19T08:02:00.000Z%,8005895,8000267,8006017,8003476,8001289,8002878,8000228,;602
2021-12-19T08:15:00.000Z;Bayreuth Hbf;RE;RE 30;30;3406;8000028;8000028%2021-12-19T08:15:00.000Z%,8001348,8000328,8004759,8004284,8000284,;602
2021-12-19T08:32:00.000Z;Bayreuth Hbf;RE;RE 30;30;3083;8000028;8000028%2021-12-19T08:32:00.000Z%,8004126,8002924,;602
2021-12-19T09:01:00.000Z;Bayreuth Hbf;RE;RE 32;32;3448;8000028;8000028%2021-12-19T09:01:00.000Z%,8001348,8004759,8002794,8000284,;602
2021-12-19T09:02:00.000Z;Bayreuth Hbf;RE;RE 32;32;3483;8000028;8000028%2021-12-19T09:02:00.000Z%,8000267,8003476,8001289,8002878,8000228,;602
2021-12-19T09:29:00.000Z;Bayreuth Hbf;RE;RE 30;30;3082;8000028;8000028%2021-12-19T09:29:00.000Z%,8004759,8004284,8000284,;602
2021-12-19T10:02:00.000Z;Bayreuth Hbf;RE;RE 38;38;59304;8000028;8000028%2021-12-19T10:02:00.000Z%,8005895,8000267,8006017,8003476,8001289,8000228,;602
2021-12-19T10:15:00.000Z;Bayreuth Hbf;RE;RE 30;30;3408;8000028;8000028%2021-12-19T10:15:00.000Z%,8001348,8000328,8004759,8004284,8000284,;602
2021-12-19T10:32:00.000Z;Bayreuth Hbf;RE;RE 30;30;3085;8000028;8000028%2021-12-19T10:32:00.000Z%,8004126,8002924,;602
2021-12-19T11:01:00.000Z;Bayreuth Hbf;RE;RE 32;32;3470;8000028;8000028%2021-12-19T11:01:00.000Z%,8001348,8004759,8002794,8000284,;602
2021-12-19T11:02:00.000Z;Bayreuth Hbf;RE;RE 32;32;3485;8000028;8000028%2021-12-19T11:02:00.000Z%,8005895,8000267,8003476,8001289,8002878,8000228,;602
2021-12-19T11:29:00.000Z;Bayreuth Hbf;RE;RE 30;30;3084;8000028;8000028%2021-12-19T11:29:00.000Z%,8004759,8004284,8000284,;602
2021-12-19T12:02:00.000Z;Bayreuth Hbf;RE;RE 38;38;59306;8000028;8000028%2021-12-19T12:02:00.000Z%,8005895,8000267,8003476,8001289,8002878,8000228,;602
2021-12-19T12:15:00.000Z;Bayreuth Hbf;RE;RE 30;30;3410;8000028;8000028%2021-12-19T12:15:00.000Z%,8001348,8000328,8004759,8002794,8000284,;602
2021-12-19T12:32:00.000Z;Bayreuth Hbf;RE;RE 30;30;3087;8000028;8000028%2021-12-19T12:32:00.000Z%,8004126,8002924,;602
2021-12-19T13:01:00.000Z;Bayreuth Hbf;RE;RE 32;32;3472;8000028;8000028%2021-12-19T13:01:00.000Z%,8001348,8004759,8002794,8000284,;602
2021-12-19T13:02:00.000Z;Bayreuth Hbf;RE;RE 32;32;3487;8000028;8000028%2021-12-19T13:02:00.000Z%,8005895,8000267,8003476,8001289,8002878,8000228,;602
2021-12-19T13:29:00.000Z;Bayreuth Hbf;RE;RE 30;30;3086;8000028;8000028%2021-12-19T13:29:00.000Z%,8004759,8004284,8000284,;602
2021-12-19T14:02:00.000Z;Bayreuth Hbf;RE;RE 38;38;59308;8000028;8000028%2021-12-19T14:02:00.000Z%,8005895,8000267,8006017,8003476,8001289,8000228,;602
2021-12-19T14:15:00.000Z;Bayreuth Hbf;RE;RE 30;30;3412;8000028;8000028%2021-12-19T14:15:00.000Z%,8001348,8000328,8004759,8004284,8000284,;602
2021-12-19T14:32:00.000Z;Bayreuth Hbf;RE;RE 30;30;3089;8000028;8000028%2021-12-19T14:32:00.000Z%,8004126,8002924,;602
