db_station_name;rki_landkreisname;rki_bezeichner;db_station_id;rki_ags
Bayreuth Hbf;Bayreuth;Kreisfreie Stadt;8000028;09462
Brackwede;Bielefeld;Kreisfreie Stadt;8000048;05711
Kaufering;Landsberg am Lech;Landkreis;8000195;09181
Weiden(Oberpf);Weiden i.d. OPf.;Kreisfreie Stadt;8000204;09363
Landshut(Bay)Hbf;Landshut;Kreisfreie Stadt;8000217;09261
Löhne(Westf);Herford;Kreis;8000233;05758
Schnega;Lüchow-Dannenberg;Landkreis;8000440;03354
Amberg;Amberg;Kreisfreie Stadt;8000566;09361
Aschaffenburg Süd;Aschaffenburg;Kreisfreie Stadt;8000619;09661
Baden-Baden Rebland;Baden-Baden;Stadtkreis;8000775;08211
Bohmte;Osnabrück;Landkreis;8001071;03459
Bonn UN Campus;Bonn;Kreisfreie Stadt;8001091;05314
Bremen-Sebaldsbrück;Bremen;Kreisfreie Stadt;8001164;04011
Bremerhaven-Lehe;Bremerhaven;Kreisfreie Stadt;8001168;04012
Creidlitz;Coburg;Kreisfreie Stadt;8001347;09463
Dülken;Viersen;Kreis;8001571;05166
Echem;Lüneburg;Landkreis;8001646;03355
Einfeld;Neumünster;Kreisfreie Stadt;8001718;01004
Emmerthal;Hameln-Pyrmont;Landkreis;8001777;03252
Erlangen Paul-Gossen-Straße;Erlangen;Kreisfreie Stadt;8001846;09562
Erndtebrück;Siegen-Wittgenstein;Kreis;8001851;05970
Etelsen;Verden;Landkreis;8001924;03361
Feldhausen;Bottrop;Kreisfreie Stadt;8001972;05512
Frankenthal Süd;Frankenthal (Pfalz);Kreisfreie Stadt;8002025;07311
Freiburg-ZÃ¤hringen;Freiburg im Breisgau;Stadtkreis;8002071;08311
Freilassing-Hofham;Berchtesgadener Land;Landkreis;8002085;09172
Gelsenkirchen-Rotthausen;Gelsenkirchen;Kreisfreie Stadt;8002227;05513
Haste;Schaumburg;Landkreis;8002634;03257
Heessen;Hamm;Kreisfreie Stadt;8002680;05915
Heilbronn Trappensee;Heilbronn;Stadtkreis;8002700;08121
Herne-Börnig;Herne;Kreisfreie Stadt;8002779;05916
Hof Hbf;Hof;Kreisfreie Stadt;8002924;09464
Ingolstadt Nord;Ingolstadt;Kreisfreie Stadt;8003076;09161
Inningen;Augsburg;Kreisfreie Stadt;8003079;09761
Isselhorst-Avenwedde;Gütersloh;Kreis;8003096;05754
Kalchreuth;Erlangen-Höchstadt;Landkreis;8003154;09572
Karlsruhe-Mühlburg;Karlsruhe;Stadtkreis;8003187;08212
Koblenz-Moselweiß;Koblenz;Kreisfreie Stadt;8003354;07111
Königslutter;Helmstedt;Landkreis;8003382;03154
Krefeld-Uerdingen;Krefeld;Kreisfreie Stadt;8003427;05114
Landau(Pfalz)West;Landau in der Pfalz;Kreisfreie Stadt;8003508;07313
Lang Göns;Gießen;Landkreis;8003520;06531
Laubenheim(Nahe);Bad Kreuznach;Landkreis;8003568;07133
Legden;Borken;Kreis;8003608;05554
Leverkusen-Rheindorf;Leverkusen;Kreisfreie Stadt;8003672;05316
Linsburg;Nienburg (Weser);Landkreis;8003705;03256
Ludwigshafen-Rheingönheim;Ludwigshafen am Rhein;Kreisfreie Stadt;8003767;07314
Lutum;Coesfeld;Kreis;8003804;05558
Mainz-Mombach;Mainz;Kreisfreie Stadt;8003821;07315
Marktbreit;Kitzingen;Landkreis;8003881;09675
Maxhütte-Haidhof;Schwandorf;Landkreis;8003922;09376
Mellrichstadt Bf;Rhön-Grabfeld;Landkreis;8003959;09673
Merzenich;Düren;Kreis;8003990;05358
Mering-St Afra;Aichach-Friedberg;Landkreis;8004008;09771
Mühlheim(b Tuttlingen);Tuttlingen;Landkreis;8004111;08327
Mülheim(Ruhr)West;Mülheim an der Ruhr;Kreisfreie Stadt;8004122;05117
Münster(Hessen);Darmstadt-Dieburg;Landkreis;8004171;06432
Neu Wulmstorf;Harburg;Landkreis;8004247;03353
Neubrücke(Nahe);Birkenfeld;Landkreis;8004253;07134
Neuhof(Kr Fulda);Fulda;Landkreis;8004295;06631
Neukloster(Kr Stade);Stade;Landkreis;8004302;03359
Dortmund UniversitÃ¤t;Dortmund;Kreisfreie Stadt;8004419;05913
Niederweimar;Marburg-Biedenkopf;Landkreis;8004420;06534
Münster-HÃ¤ger;Münster;Kreisfreie Stadt;8004426;05515
Neustadt-Böbig;Neustadt an der Weinstraße;Kreisfreie Stadt;8004489;07316
Oberbettingen-Hillesheim;Vulkaneifel;Landkreis;8004513;07233
Oberbrechen;Limburg-Weilburg;Landkreis;8004518;06533
Oberhausen-Sterkrade;Oberhausen;Kreisfreie Stadt;8004542;05119
Obernhof(Lahn);Rhein-Lahn-Kreis;Landkreis;8004567;07141
Oelde;Warendorf;Kreis;8004626;05570
Oker;Goslar;Landkreis;8004665;03153
Osterhofen(Nby);Deggendorf;Landkreis;8004700;09271
Osterholz-Scharmbeck;Osterholz;Landkreis;8004702;03356
Ostheim(b Butzbach);Wetteraukreis;Landkreis;8004712;06440
Otterfing;Miesbach;Landkreis;8004726;09182
Pfeddersheim;Worms;Kreisfreie Stadt;8004788;07319
Pforzheim-Weißenstein;Pforzheim;Stadtkreis;8004801;08231
Pfronten-Weißbach;Ostallgäu;Landkreis;8004809;09777
Pirmasens Hbf;Pirmasens;Kreisfreie Stadt;8004822;07317
Pönitz(Holst);Ostholstein;Kreis;8004848;01055
Porta Westfalica;Minden-Lübbecke;Kreis;8004868;05770
Pulling(b Freising);Freising;Landkreis;8004900;09178
Düsseldorf-Hellerhof;Düsseldorf;Kreisfreie Stadt;8004920;05111
Raisdorf;Plön;Kreis;8004924;01057
Ramsenthal;Bayreuth;Landkreis;8004936;09472
Regensburg-Prüfening;Regensburg;Kreisfreie Stadt;8004983;09362
Reichertshausen(Ilm);Pfaffenhofen a.d. Ilm;Landkreis;8005008;09186
Reinfeld(Holst);Stormarn;Kreis;8005019;01062
Rheinhausen Ost;Duisburg;Kreisfreie Stadt;8005065;05112
Rödental Mitte;Coburg;Landkreis;8005122;09473
Rösrath-Stümpen;Rheinisch-Bergischer Kreis;Kreis;8005143;05378
Rommerskirchen;Rhein-Kreis Neuss;Kreis;8005159;05162
Rottershausen;Bad Kissingen;Landkreis;8005199;09672
Rückersbacher Schlucht;Aschaffenburg;Landkreis;8005208;09671
Saarhölzbach;Merzig-Wadern;Landkreis;8005246;10042
Salzgitter-Watenstedt;Salzgitter;Kreisfreie Stadt;8005275;03102
Sand(Niederbay);Straubing-Bogen;Landkreis;8005279;09278
Sarstedt;Hildesheim;Landkreis;8005292;03254
Schieder;Lippe;Kreis;8005340;05766
Schifferstadt Süd;Rhein-Pfalz-Kreis;Landkreis;8005345;07338
Schirnding;Wunsiedel i. Fichtelgebirge;Landkreis;8005352;09479
Heidelberg-Schlierbach/Ziegelhausen;Heidelberg;Stadtkreis;8005366;08221
Schopfloch(b Freudenstadt);Freudenstadt;Landkreis;8005421;08237
Schülldorf;Rendsburg-Eckernförde;Kreis;8005435;01058
Schwabach-Limbach;Schwabach;Kreisfreie Stadt;8005440;09565
Schweinfurt Stadt;Schweinfurt;Kreisfreie Stadt;8005481;09662
Seubersdorf;Neumarkt i.d. OPf.;Landkreis;8005543;09373
Speyer Hbf;Speyer;Kreisfreie Stadt;8005628;07318
St Goar;Rhein-Hunsrück-Kreis;Landkreis;8005645;07140
St Mang;Kempten (Allgäu);Kreisfreie Stadt;8005653;09763
St Michaelisdonn;Dithmarschen;Kreis;8005655;01051
St Thomas;Eifelkreis Bitburg-Prüm;Landkreis;8005658;07232
Bad Staffelstein;Lichtenfels;Landkreis;8005670;09478
Iffeldorf;Weilheim-Schongau;Landkreis;8005672;09190
Stammbach;Hof;Landkreis;8005674;09475
Steinach(Baden);Ortenaukreis;Landkreis;8005688;08317
Steinheim(Westf);Höxter;Kreis;8005708;05762
Steinfurt-Grottenkamp;Steinfurt;Kreis;8005712;05566
Stockheim(Oberfr);Kronach;Landkreis;8005737;09476
Storzingen;Sigmaringen;Landkreis;8005747;08437
Straßberg-Winterlingen;Zollernalbkreis;Landkreis;8005750;08417
Suchsdorf;Kiel;Kreisfreie Stadt;8005781;01002
Sulzbach(Saar)Altenwald;Regionalverband Saarbrücken;Landkreis;8005797;10041
Sulzbach(Taunus)Nord;Main-Taunus-Kreis;Landkreis;8005799;06436
Tarp;Schleswig-Flensburg;Kreis;8005825;01059
Tauberfeld;Eichstätt;Landkreis;8005828;09176
Teningen-Mundingen;Emmendingen;Landkreis;8005836;08316
Trier Süd;Trier;Kreisfreie Stadt;8005905;07211
Trossingen Bahnhof;Rottweil;Landkreis;8005911;08325
Tübingen-Lustnau;Tübingen;Landkreis;8005918;08416
Twistringen;Diepholz;Landkreis;8005929;03251
Ãœbach-Palenberg;Heinsberg;Kreis;8005935;05370
Ãœberlingen-Nußdorf;Bodenseekreis;Landkreis;8005943;08435
Ãœrzig(DB);Bernkastel-Wittlich;Landkreis;8005945;07231
Uffenheim;Neustadt a.d. Aisch-Bad Windsheim;Landkreis;8005947;09575
Uhingen;Göppingen;Landkreis;8005949;08117
Ulm-Söflingen;Ulm;Stadtkreis;8005955;08421
Undorf;Regensburg;Landkreis;8005966;09375
Unkel;Neuwied;Landkreis;8005970;07138
Unna-Königsborn;Unna;Kreis;8005971;05978
Unterheckenhofen;Roth;Landkreis;8005995;09576
Germering-Unterpfaffenhofen;Fürstenfeldbruck;Landkreis;8006006;09179
Untersteinach(b Stadtsteinach);Kulmbach;Landkreis;8006017;09477
Vach;Fürth;Kreisfreie Stadt;8006052;09563
Vellmar-Osterberg/EKZ;Kassel;Landkreis;8006068;06633
Vilseck;Amberg-Sulzbach;Landkreis;8006085;09371
Vilshofen(Niederbay);Passau;Landkreis;8006086;09275
Vöhringen;Neu-Ulm;Landkreis;8006094;09775
Voerde(Niederrhein);Wesel;Kreis;8006098;05170
Vogelweh;Kaiserslautern;Kreisfreie Stadt;8006100;07312
Volkringhausen;Märkischer Kreis;Kreis;8006109;05962
Volpriehausen;Northeim;Landkreis;8006112;03155
Wackershofen;Schwäbisch Hall;Landkreis;8006135;08127
Waigolshausen;Schweinfurt;Landkreis;8006147;09678
Waldenburg(Württ);Hohenlohekreis;Landkreis;8006154;08126
Waldshut;Waldshut;Landkreis;8006167;08337
Walheim(Württ);Ludwigsburg;Landkreis;8006171;08118
Walldorf(Hess);Groß-Gerau;Landkreis;8006175;06433
Wallersdorf;Dingolfing-Landau;Landkreis;8006181;09279
Wallertheim;Alzey-Worms;Landkreis;8006183;07331
Hebertshausen;Dachau;Landkreis;8006189;09174
Walpertskirchen;Erding;Landkreis;8006190;09177
Walporzheim;Ahrweiler;Landkreis;8006191;07131
Wannweil;Reutlingen;Landkreis;8006203;08415
Warthausen;Biberach;Landkreis;8006212;08426
Wasserburg(Bodensee);Lindau (Bodensee);Landkreis;8006218;09776
Wasserburg(Günz);Günzburg;Landkreis;8006219;09774
Wattenscheid-Höntrop;Bochum;Kreisfreie Stadt;8006227;05911
Weddel(Braunschw);Wolfenbüttel;Landkreis;8006233;03158
Wedel(Holst);Pinneberg;Kreis;8006236;01056
Weidenbach;Mühldorf a. Inn;Landkreis;8006258;09183
