rki_ags;population;incidence;cases_100k;cases_week
09462;74048;394.3388072601556;6653.792134831461;292
05711;333509;244.9709003355232;7061.878390088424;817
09181;121019;583.3794693395251;6240.342425569539;706
09363;42535;458.4459856588691;8731.632773010462;195
09261;73065;592.623006911654;8941.353589269827;433
05758;250547;358.016659548907;6622.709511588644;897
03354;48503;197.92590149062946;2900.8514937220375;96
09361;42052;444.68752972510225;7305.241130029487;187
09661;70858;520.7598295181914;7622.286827175477;369
08211;55449;479.7201031578568;6761.167920070696;266
03459;359471;200.85069449274073;5865.563564237449;722
05314;330579;282.2320837076765;6322.2406746950055;933
04011;566573;209.85821774069714;5598.39597015742;1189
04012;113557;234.24359572725592;6749.914140035401;266
09463;40842;526.4188825228931;8057.881592478332;215
05166;298536;338.98759278612965;5492.134951898599;1012
03355;184235;189.43197546611665;3107.444296686297;349
01004;79905;178.96251799011327;3957.199174019148;143
03252;148580;163.54825683133666;4104.8593350383635;243
09562;112385;379.94394269697915;5485.607509899008;427
05970;275491;231.9495010726303;6163.9037209927;639
03361;137574;194.8042508032041;4529.925712707343;268
05512;117388;204.45019933894434;6359.253075271748;240
07311;48750;274.87179487179486;7095.384615384616;134
08311;230940;383.2164198493115;5592.361652377241;885
09172;106327;988.460127719206;12725.836335079519;1051
05513;259105;258.5824279732155;8256.884274714885;670
03257;158406;180.54871658901808;4412.7116397106165;286
05915;178967;266.5295836662625;7840.551610073365;477
08121;126458;574.8944313527021;10884.24615287289;727
05916;156940;261.24633617943164;7953.9951573849885;410
09464;45173;298.851083611892;10661.235693887942;135
09161;136952;649.1325427887143;8240.113324376423;889
09761;295830;530.3721732075854;9699.15153973566;1569
05754;364818;342.6366023606291;7941.768224155607;1250
09572;138105;448.93378226711565;6225.697838601064;620
08212;308436;349.18102945181494;5799.906625685718;1077
07111;113388;203.7252619324796;5445.020637104456;231
03154;91518;205.4240695819402;3814.55014314124;188
05114;226844;327.09703584842447;7255.206221015323;742
07313;46685;357.7166113312627;6237.549534111599;167
06531;271667;191.77890579275362;6619.869178074628;521
07133;158746;272.7627782747282;5367.6943041084505;433
05554;371898;246.30409413333763;5357.382938332554;916
05316;163905;399.01162258625425;7701.412403526434;654
03256;121645;124.9537588885692;4136.627070574212;152
07314;172557;256.7267627508591;8768.69672050395;443
05558;220712;171.26390952916017;3530.39254775454;378
07315;217123;259.76059652823517;6457.630006954583;564
09675;91696;490.75205025300994;5882.481242366079;450
09376;148477;653.9733426726025;8975.127460818847;971
09673;79510;615.0169789963527;7399.069299459188;489
05358;265140;287.0181790752056;6892.20789017123;761
09771;135024;642.1080696765019;7004.680649366038;867
08327;141682;619.6976327268108;8527.54760661199;878
05117;170921;242.21716465501606;6623.5278286459825;414
06432;297701;317.43259176153254;5455.473780739736;945
03353;256016;165.61464908443222;3870.85182176114;424
07134;80830;301.8681182729185;6315.724359767413;244
06631;223023;357.810629396968;8217.53810145142;798
03359;205357;151.93054047341946;3779.272194276309;312
05913;587696;257.6161825161308;6841.462252593178;1514
06534;245903;159.81911566755997;5808.38786025384;393
05515;316403;173.51289336700347;3889.027600876098;549
07316;53306;544.0288147675684;5753.573706524594;290
07233;60491;269.46157279595315;4744.507447388867;163
06533;172291;208.9488133448642;6969.603751792027;360
05119;209566;254.33514978574766;6915.721061622591;533
07141;122574;245.56594383800808;4590.696232479971;301
05570;277417;299.9095224878072;5964.666909381905;832
03153;134688;196.00855310049894;3005.464480874317;264
09271;119479;980.9255182919173;10760.04988324308;1172
03356;114640;121.24912770411723;3267.6203768318214;139
06440;310353;240.04923425905338;6126.249786533399;745
09182;100183;552.98803190162;9686.274118363395;554
07319;83459;438.53868366503315;7680.417929761919;366
08231;126016;655.4723209751143;10509.77653631285;826
09777;141907;977.4006920025088;9762.731930066875;1387
07317;40176;363.40103544404616;4975.607327757865;146
01055;201487;159.81179927240964;2382.784000952915;322
05770;310270;403.51951526090176;7610.468301801657;1252
09178;180313;514.1060267423869;7628.401723669396;927
05111;620523;319.89144640891635;6459.712210506299;1985
01057;129353;123.69253129034502;1866.9841441636452;160
09472;103679;469.7190366419429;6923.292084221492;487
09362;152270;501.74032967754647;8344.388257700137;764
09186;129128;621.0891518493278;7635.834211015427;802
01062;244989;186.53898746474331;4156.104967978154;457
05112;495885;257.51938453472076;7779.021345674903;1277
09473;86571;808.58486098116;8180.568550669393;700
05378;283275;247.4627129114818;5578.324949254258;701
05162;452001;240.0437167174409;5874.544525343971;1085
09672;103169;404.19118145954695;5980.478632147254;417
09671;174658;405.36362491268653;6643.26855912698;708
10042;103471;456.1664621004919;5157.966966589672;472
03102;103866;438.0644291683515;7647.353320624652;455
09278;101745;780.3823283699445;10048.651039363114;794
03254;275464;237.78061743095287;4573.737403072633;655
05766;346970;235.17883390494856;7247.024238406778;816
07338;154754;314.69299662690463;6624.061413598356;487
09479;71974;309.8341067607747;8947.675549503987;223
08221;158741;240.01360707063705;4759.324938106727;381
08237;118364;702.9164272920821;7335.8453583859955;832
01058;274765;92.07868542208796;2275.762924681091;253
09565;41056;530.9820732657834;8534.68433359314;218
09662;53319;504.5105872203155;9585.701157185995;269
09373;135225;698.0957663154003;9273.433166943983;944
07318;50741;455.2531483415778;8511.85431899253;231
07140;103401;293.0339164998404;5470.933549965667;303
09763;68940;684.6533217290398;8872.932985204527;472
01051;133251;90.05560933876669;2414.99125710126;120
07232;100055;211.88346409474786;4741.392234271151;212
09478;66722;687.9290189143012;8004.855969545277;459
09190;136134;941.7191884466775;7215.684546108981;1282
09475;94522;465.5000952159286;8994.731385285964;440
08317;432580;592.7227333672384;7564.149983818022;2564
05762;139729;190.36849902310902;5108.459947469745;266
05566;448197;246.7664888430757;5451.620604332469;1106
09476;66355;834.9031723306458;10053.500113028407;554
08437;130946;545.2629328119988;7785.652100866006;714
08417;189862;638.3583866176486;7807.776174273947;1212
01002;246601;118.00438765455128;3613.52954773095;291
10041;327502;467.1727195559111;6891.255625919841;1530
06436;239264;254.1126120101645;5566.236458472649;608
01059;202647;108.5631664914852;2099.710333733043;220
09176;133169;561.6922857421772;6940.05361608182;748
08316;166862;383.5504788388009;5924.656302813103;640
07211;110674;178.00025299528343;3669.33516453729;197
08325;140166;707.0188205413581;9283.991838248934;991
08416;228471;382.10538755465683;6355.292356579172;873
03251;218072;149.95047507245314;4287.1161818115115;327
05370;256458;351.3245833625779;6483.712732689173;901
08435;217901;876.5448529378021;6837.508776921629;1910
07231;112685;255.57971336025204;4187.780094954963;288
09575;101272;302.1565684493246;6799.510229875978;306
08117;258781;504.2874090447135;8055.846449314286;1305
08421;126405;487.3224951544638;7722.795775483565;616
09375;194275;513.1900656286192;7390.554626174238;997
07138;183131;237.53487940326872;6290.032818037361;435
05978;393618;204.25895157233663;6186.7089411561465;804
09576;127168;516.6394061399094;7401.233014594867;657
09179;218740;440.2486970832952;7130.840266983633;963
09477;71428;274.40219521756177;7548.860390883127;196
09563;128223;637.1711783377398;9358.695397861538;817
06633;237007;205.47916306269437;4721.379537313243;487
09371;102998;471.8538224043185;7349.657274898541;486
09275;193454;1095.3508327561074;12056.096022827132;2119
09775;175823;780.3302184583359;8059.241396176837;1372
05170;460113;283.6259788356338;5338.253863724781;1305
07312;99662;288.9767413858843;5398.246071722422;288
05962;408662;324.96292779852297;7076.018812612868;1328
03155;131772;215.5237835048417;3159.244756093859;284
08127;197860;523.0971393914889;8136.561204892348;1035
09678;115652;644.1739010133849;7356.552415868295;745
08126;112765;632.2883873542322;7907.595441848091;713
08337;171237;446.1652563406273;6440.780905995784;764
08118;544971;418.18738978771347;7560.952784643586;2279
06433;275807;261.0521125279634;7304.745709862332;720
09279;97244;1000.5758710048948;12035.704002303484;973
07331;130715;345.02543701946985;5928.164326970891;451
09174;155117;481.57197470296614;8668.94021931832;747
09177;138891;681.8296361895299;9248.259426456718;947
07131;130479;293.5338253665341;5344.154998122303;383
08415;287497;339.13397357189814;7778.51594973165;975
08426;202250;794.5611866501855;8311.4956736712;1607
09776;82085;615.2159347018335;7179.14357068892;505
09774;127342;704.4023181668264;9762.68630930879;897
05911;364454;267.5234734699029;6375.015777025358;975
03158;119361;249.66278767771718;3485.22549241377;298
01056;317085;199.00026806692213;4734.061844615797;631
09183;116483;1058.523561378055;12271.318561506829;1233
09372;128094;760.3790966009337;9512.545474417226;974
09374;94645;640.287389719478;8481.166464155529;606
08115;392898;534.2353486146532;7206.959567114111;2099
09778;146164;900.3585014093757;9674.748912180838;1316
09577;95117;748.5517835928383;8283.482447932545;712
09474;116600;488.8507718696398;6600.343053173242;570
07339;211525;286.0182011582555;5006.973171019974;605
06532;253373;226.14880038520283;6361.76703910835;573
09188;136610;478.0030744455018;6423.39506624698;653
08425;198204;550.4429779419185;7484.712720227644;1091
08136;314294;665.9369889339281;8086.059549339155;2093
09772;255900;654.5525595935912;7941.383352872215;1675
05974;301016;190.35532994923858;4183.166343317299;573
05116;259665;262.26099012188786;6410.952573508174;681
03360;92566;181.49212453816736;3424.5835403928013;168
06414;278609;189.5129015932723;6495.123990969423;528
08215;446852;418.9306526545702;6915.041221702039;1872
09677;125976;274.6554899345907;5199.403060900489;346
08235;160149;582.5824700747429;8325.996415837752;933
07235;150533;254.42926135797467;4322.640218423867;383
09571;185316;655.0972393101513;7667.9833365710465;1214
09574;171143;581.9694641323338;6759.259800283973;996
07137;214786;206.71738381458755;4806.644753382437;444
08119;427286;502.0056823766751;7822.161269032919;2145
05958;259030;182.99038721383624;5090.916110103077;474
09679;162697;314.6954154040947;4628.849948062963;512
07132;129087;296.6991253960507;5495.518526265232;383
05954;323130;226.84368520409743;5747.531953083898;733
08222;309721;591.1772207890327;8371.082361221874;1831
05113;582415;223.55193461706858;6220.8219225122975;1302
05382;600375;266.50010410160314;5707.932542161149;1600
06636;100046;226.8956280111149;5049.677148511684;227
01054;167147;139.99653000053846;2569.5944288560368;234
06411;159174;322.2888160126654;5588.224207471069;513
09779;134324;733.3015693398053;8768.351150948452;985
06439;187433;221.4124513826274;5254.677671487945;415
09274;161191;794.0890000062038;9354.12026726058;1280
01053;199152;180.76644974692695;3894.512733992127;360
06435;421689;285.9927576958375;7575.725238268012;1206
09173;128212;609.147349702056;9290.082051602034;781
07336;70105;255.33128878111404;4413.379930104843;179
01061;130706;152.25008798371917;2686.946276375989;199
05158;484322;349.14788095523227;7027.762521628172;1691
10045;141656;451.79872366860565;5250.748291636076;640
09663;126954;410.3848638089387;5973.817288151614;521
10043;131172;342.29866129966763;5894.550666300735;449
09471;147497;817.6437486864139;7050.3128877197505;1206
09674;84275;765.3515277365767;7957.282705428656;645
08336;228842;568.5145209358423;6648.255127992239;1301
08116;533617;478.43303343034427;7626.818485917803;2553
05362;469611;286.1943182761903;6228.346439925811;1344
08128;132684;410.7503542250761;6156.733291127793;545
06634;179840;162.36654804270464;4861.543594306049;292
08326;212872;885.9784283513097;8531.417941298057;1886
09780;156308;815.0574506743096;8473.014816899966;1274
09175;144091;664.1636188242152;8278.102032743196;957
05366;194359;268.0606506516292;5740.922725471935;521
08125;346363;599.6598943882574;7797.888342577007;2077
07320;34001;352.93079615305436;4023.411076144819;120
06431;271015;369.35224987546815;6169.031234433518;1001
09184;349685;430.10137695354393;7107.825614481605;1504
01003;215846;206.16550688917098;3918.5345107159737;445
03159;323900;264.2790984871874;3683.5443037974683;856
05562;613599;243.80743775658044;6852.357973203999;1496
05914;188687;319.57686539083244;9172.333017112996;603
05122;159193;308.43064707619055;7994.698259345574;491
09187;261721;1356.7883356704276;11192.835118313013;3551
05124;355004;320.27808137373097;8157.372874671835;1137
09263;47612;552.3817524993699;8869.612702679997;263
07135;61578;306.92779888921365;4839.390691480724;189
08225;143797;476.3659881638699;6931.298983984368;685
07335;106320;285.92927012791574;5525.771256583897;304
09573;118695;545.0945701166856;7243.776064703653;647
07334;129006;552.6874719005317;7392.679410259988;713
07337;110783;363.7742252872733;5639.854490309885;403
10044;193732;504.3049160696219;6668.490492019903;977
14521;331917;2021.8910149224052;15858.482692962398;6711
14626;250558;1502.6460939183742;13980.39575667111;3765
16070;105606;997.1024373615136;10179.345870499783;1053
16054;36395;777.5793378211292;9196.318175573568;283
16051;213692;806.7686202571925;7559.94609063512;1724
12053;57015;850.6533368411822;6405.331930193808;485
16052;92126;1005.1451273256193;9614.006903588564;926
16053;110731;706.2159648156343;6607.002555743198;782
12051;72040;427.5402554136591;4865.352581898945;308
16076;96668;1108.9502213762569;12044.316630115447;1072
12071;113011;1374.2025112599658;10859.119908681456;1553
15081;82687;702.6497514724201;6229.516127081645;581
15001;79354;829.1957557274997;6750.762406431939;658
16066;124241;944.1327742049726;12383.995621413222;1173
